Start Date,End Date,Category,RSI,Area of Snow >= 0,Population >= 0,Area of Snow >= 4,Population >= 4,Area of Snow >= 10,Population >= 10,Area of Snow >= 20,Population >= 20,Area of Snow >= 30,Population >= 30
1/20/1982,1/24/1982,1,1.129,174949,58912669,111840,18636169,1133,69469,0,0,0,0
1/12/1982,1/15/1982,1,1.999,174949,58912680,104854,50684950,6236,6253250,0,0,0,0
2/17/1979,2/20/1979,1,2.869,135587,54931701,56449,37616801,31165,26487901,1009,753001,0,0
2/6/1979,2/9/1979,1,1.391,154634,58587372,77965,44240572,605,48272,0,0,0,0
2/4/1978,2/8/1978,5,18.422,174950,58912680,159554,55125790,106190,46055280,18528,9394980,1249,1169430
1/17/1978,1/21/1978,2,5.372,174950,58912754,169366,57838354,104153,43790954,288,159854,0,0
1/14/1978,1/19/1978,1,2.746,174950,58912695,155278,32785795,59505,6454795,96,5975,0,0
1/11/1978,1/15/1978,1,2.085,174950,58912751,140450,29122751,35547,2382151,9,1161,0,0
3/21/1977,3/25/1977,1,2.074,163033,51465264,100289,14660064,44801,4348064,1556,106124,124,4768
1/7/1977,1/11/1977,1,1.956,174940,58911001,126035,18567501,45445,3347401,9,871,0,0
1/8/1974,1/12/1974,1,2.625,174335,58841600,153010,45385200,25812,9983200,0,0,0,0
12/15/1973,12/18/1973,1,1.622,174901,58902390,119846,25573090,16875,2474190,0,0,0,0
2/16/1972,2/20/1972,2,5.123,174950,58912688,169568,56200878,112513,23609078,3478,312678,0,0
11/23/1971,11/27/1971,2,3.085,170971,57675388,129581,29639788,61676,8826388,2671,519458,0,0
2/26/1971,3/6/1971,4,10.178,174940,58908221,150915,28355521,98704,9402021,18758,1691911,3863,162251
12/31/1970,1/2/1971,1,1.732,171115,58872394,72305,47502494,12416,3388994,201,28334,0,0
12/25/1969,12/29/1969,4,10.137,174949,58912747,153788,52274787,98973,19362887,31222,3070387,1316,75887
2/25/1969,3/4/1969,1,1.221,162735,57803468,62080,33749668,4295,1938768,105,27228,0,0
2/22/1969,2/28/1969,5,34.026,174950,58912750,84173,18688150,48098,10586430,33673,7694970,16192,2009520
2/8/1969,2/10/1969,2,4.397,173575,58690661,97964,39848161,60860,28658061,4420,1341761,124,6291
3/20/1967,3/23/1967,1,1.305,169097,58847740,62484,31763340,4766,5624340,0,0,0,0
2/6/1967,2/8/1967,2,3.175,170183,58809600,74179,48347600,30185,36459100,0,0,0,0
12/22/1966,12/26/1966,2,3.567,174950,58912785,137596,51425215,59312,14873115,1249,137915,67,8132
2/23/1966,2/26/1966,2,3.578,174940,58912068,128351,50364828,69912,16930928,1393,29228,0,0
1/28/1966,2/1/1966,4,12.281,174940,58902827,172845,58109744,90333,21256044,11243,1613044,3046,611484
1/21/1966,1/24/1966,2,3.906,168213,58791555,149896,45961855,80291,15953555,1643,413255,0,0
2/18/1964,2/21/1964,1,2.396,174950,58912707,99011,47282007,28013,8423607,557,180247,0,0
1/9/1964,1/14/1964,2,5.819,171692,58878525,124487,54896955,77792,37684555,9485,1227255,9,3415
12/21/1963,12/24/1963,1,1.684,174950,58912752,99684,51914802,394,88302,0,0,0,0
3/5/1962,3/9/1962,1,1.793,142487,57611005,49212,20381305,25255,7818305,2431,218645,57,8174
2/28/1962,3/7/1962,1,1.731,142497,57612182,49395,20553082,24005,6810582,2316,217062,57,8174
2/13/1962,2/16/1962,1,2.157,155576,58605785,84539,31692085,33548,13976485,38,2685,0,0
2/1/1961,2/5/1961,3,8.276,152539,58535284,130936,56940174,103634,46762174,13453,4571474,86,9074
1/18/1961,1/21/1961,2,3.905,173028,58859231,88315,51058261,45705,39782961,720,489961,0,0
12/10/1960,12/13/1960,2,4.205,174440,58907325,139498,55682755,46550,41883855,19,73155,0,0
2/29/1960,3/5/1960,3,6.899,174296,58905710,133502,57457210,59639,40248710,4833,6011510,0,0
2/12/1960,2/15/1960,1,1.896,174440,58907321,93534,18780321,41140,6958321,461,55791,9,1161
3/12/1959,3/14/1959,2,3.848,172432,58488470,155595,43528770,101183,14092270,422,14970,0,0
3/18/1958,3/23/1958,3,7.144,174729,58910374,136298,52479234,50596,35882234,6765,3486234,403,158714
2/12/1958,2/18/1958,3,7.866,174729,58910377,156777,56376797,92131,47728957,11426,2123557,538,48077
12/3/1957,12/5/1957,1,1.175,123190,56371800,36787,33750600,2969,6427100,0,0,0,0
3/18/1956,3/20/1956,1,2.774,172057,58780618,58159,44234418,24015,31701218,67,108618,0,0
3/14/1956,3/17/1956,2,3.14,174748,58910585,144928,43513885,65703,11127585,96,6385,0,0
3/3/1956,3/9/1956,1,1.151,155605,40701725,63531,3620225,29291,853795,1950,23340,0,0
2/17/1952,2/18/1952,2,3.313,166935,53866427,117299,22253327,65444,9241927,5660,676297,9,174
12/13/1951,12/16/1951,1,2.149,174940,58912706,161428,46715206,9523,678306,28,5924,0,0
11/22/1950,11/30/1950,4,14.531,149339,57671970,70412,10661470,27974,5379190,15606,3432200,3882,1207570
2/11/1950,2/17/1950,1,2.456,166262,52892032,127428,33084732,46608,8660232,9,2292,0,0
1/29/1949,2/1/1949,1,1.439,174950,58912679,107766,36880479,105,12779,0,0,0,0
1/23/1948,1/25/1948,1,2.661,171269,58873780,147158,52280170,34394,5119370,0,0,0,0
12/25/1947,12/27/1947,3,8.108,174325,58906173,72459,41453673,25504,27497173,4084,13501073,38,54373
2/27/1947,3/4/1947,4,10.63,174834,58911466,150127,36760166,83366,8718466,18854,1741866,3680,276146
2/20/1947,2/24/1947,2,4.948,174834,58911534,163494,57608634,81761,41475834,836,28434,0,0
